County	Constituency	Ward	Latitude	Longitude
BARINGO	BARINGO  NORTH	BARWESSA	KOMBOSANG PRIMARY SCHOOL	0.771257	35.745004
BARINGO	BARINGO  NORTH	BARWESSA	KONOO PRIMARY SCHOOL	0.684012	35.684228
BARINGO	BARINGO  NORTH	BARWESSA	KORMOR PRIMARY SCHOOL	0.634068	35.701266
BARINGO	BARINGO  NORTH	BARWESSA	KUIKUI PRIMARY SCHOOL	0.805078	35.695697
BARINGO	BARINGO  NORTH	BARWESSA	LAKE KAMNOROK PRIMARY SCHOOL	0.631901	35.635859
BARINGO	BARINGO  NORTH	BARWESSA	LAWAN PRIMARY SCHOOL	0.71496	35.747385
BARINGO	BARINGO  NORTH	BARWESSA	LEKEPCHUN PRIMARY SCHOOL	0.701832	35.693108
BARINGO	BARINGO  NORTH	BARWESSA	LIKWON PRIMARY SCHOOL	0.749183	35.692891
BARINGO	BARINGO  NORTH	BARWESSA	LITEIN PRIMARY SCHOOL	0.646315	35.664566
BARINGO	BARINGO  NORTH	BARWESSA	MARIGUT PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	MARMAR PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	BARWESSA	MUCHUKWO PRIMARY SCHOOL	0.597202	35.668954
BARINGO	BARINGO  NORTH	BARWESSA	MURTERIT PRIMARY SCHOOL	0.851109	35.741839
BARINGO	BARINGO  NORTH	BARWESSA	ROSONDONIN PRIMARY SCHOOL	0.619323	35.687418
BARINGO	BARINGO  NORTH	BARWESSA	SENEBO PRIMARY SCHOOL	0.674388	35.717554
BARINGO	BARINGO  NORTH	BARWESSA	SIBOO PRIMARY SCHOOL	0.639282	35.712705
BARINGO	BARINGO  NORTH	BARWESSA	TOROKWONIN PRI	0.67924	35.830168
BARINGO	BARINGO  NORTH	BARWESSA	TURUTURU PRIMARY SCHOOL	0.609615	35.648163
BARINGO	BARINGO  NORTH	KABARTONJO	BOSSEI PRIMARY SCHOOL	0.67815	35.786588
BARINGO	BARINGO  NORTH	KABARTONJO	KABARBET PRIMARY SCHOOL	0.57951	35.776448
BARINGO	BARINGO  NORTH	KABARTONJO	KABARTEGAN PRIMARY SCHOOL	-0.494908	35.16272
BARINGO	BARINGO  NORTH	KABARTONJO	KALEL PRIMARY SCHOOL	0.64063	35.783478
BARINGO	BARINGO  NORTH	KABARTONJO	KAPKIAMO PRIMARY SCHOOL	0.65911	35.780068
BARINGO	BARINGO  NORTH	KABARTONJO	KAPKIRWOK PRIMARY SCHOOL	0.58414	35.740018
BARINGO	BARINGO  NORTH	KABARTONJO	KAPKWANG PRIMARY SCHOOL	0.65002	35.788358
BARINGO	BARINGO  NORTH	KABARTONJO	KAPTUM PRIMARY SCHOOL	0.61288	35.749628
BARINGO	BARINGO  NORTH	KABARTONJO	KAPTUMIN PRIMARY SCHOOL	0.65673	35.797598
BARINGO	BARINGO  NORTH	KABARTONJO	KAPYEMIT NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	KABARTONJO	KASAKA PRIMARY SCHOOL	0.71572	35.775198
BARINGO	BARINGO  NORTH	KABARTONJO	KILINGOT PRIMARY SCHOOL	0.62561	35.747098
BARINGO	BARINGO  NORTH	KABARTONJO	KIPKOGOM NURSERY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	KABARTONJO	MORMORIO PRIMARY SCHOOL	0.69635	35.776478
BARINGO	BARINGO  NORTH	KABARTONJO	NGEIWAN PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	KABARTONJO	NUREGOI PRIMARY SCHOOL	0.66209	35.747658
BARINGO	BARINGO  NORTH	KABARTONJO	OSSEN PRIMARY SCHOOL	0.59817	35.771318
BARINGO	BARINGO  NORTH	KABARTONJO	PETMARK SECONDARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	KABARTONJO	RABACHIN PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	KABARTONJO	ROOT PRIMARY SCHOOL	0.67815	35.799328
BARINGO	BARINGO  NORTH	KABARTONJO	SEREMWO PRIMARY SCHOOL	0.56653	35.708498
BARINGO	BARINGO  NORTH	KABARTONJO	SOGOM PRIMARY SCHOOL	0.63233	35.755658
BARINGO	BARINGO  NORTH	KABARTONJO	SUMEIYON PRIMARY SCHOOL	0.58499	35.755978
BARINGO	BARINGO  NORTH	KABARTONJO	TERMET PRIMARY SCHOOL	0.62276	35.765558
BARINGO	BARINGO  NORTH	KABARTONJO	TILOI PRIMARY SCHOOL	0.6297	35.735627
BARINGO	BARINGO  NORTH	KABARTONJO	TIRIONDONIN PRIMARY SCHOOL	0.64704	35.767418
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	AIC KABARTONJO PRIMARY SCHOOL	0.0	0.0
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	AIYEBO PRIMARY SCHOOL	0.65999	35.809098
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	BARTOLIMO PRIMARY SCHOOL	0.68177	35.820188
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	BOIN PRIMARY SCHOOL	0.64293	35.813298
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	CHAMBAI PRIMARY SCHOOL	0.6879	35.814558
BARINGO	BARINGO  NORTH	SAIMO/KIPSARAMAN	EBENEZA PRIMARY SCHOOL	0.0	0.0
