County	Constituency	Ward	Latitude	Longitude
HOMA BAY	NDHIWA	KANYAMWA KOSEWE	RADIENYA PRIMARY SCH	-0.40821	34.969458
HOMA BAY	NDHIWA	KANYAMWA KOSEWE	RAKORO PRIMARY SCH	-0.720124	34.341009
HOMA BAY	NDHIWA	KANYAMWA KOSEWE	RANGENYA PRIMARY SCH	-1.01678	34.466736
HOMA BAY	NDHIWA	KANYAMWA KOSEWE	SANGORE PRIMARY SCH	-0.691459	34.297544
HOMA BAY	NDHIWA	KANYAMWA KOSEWE	SIGAMA PRIMARY SCH	-0.677522	34.317689
HOMA BAY	NDHIWA	KANYAMWA KOSEWE	UNGA PRIMARY SCH	-0.774353	34.409389
HOMA BAY	NDHIWA	KANYIKELA	ARIRI NUR SCH	0.0	0.0
HOMA BAY	NDHIWA	KANYIKELA	MINYA PRIMARY SCH	-0.75869	34.371756
HOMA BAY	NDHIWA	KANYIKELA	MINYERE NUR SCH	0.0	0.0
HOMA BAY	NDHIWA	KANYIKELA	ORIDI  PRIMARY SCH	-0.777923	34.378938
HOMA BAY	NDHIWA	KANYIKELA	OTANGE PRIMARY SCH	-0.816592	34.377945
HOMA BAY	NDHIWA	KANYIKELA	THUON GWENO NUR SCH	0.0	0.0
HOMA BAY	NDHIWA	KANYIKELA	WIODIELO NUR SCH	0.0	0.0
HOMA BAY	NDHIWA	KWABWAI	ABURA PRIMARY SCH	-0.78744	34.255448
HOMA BAY	NDHIWA	KWABWAI	ALARA PRIMARY SCH	-1.074811	34.512892
HOMA BAY	NDHIWA	KWABWAI	AOROCHUODHO PRIMARY SCH	0.0	0.0
HOMA BAY	NDHIWA	KWABWAI	APUOCHE PRIMARY SCH	-0.80106	34.265538
HOMA BAY	NDHIWA	KWABWAI	GOD POKO PRIMARY SCH	-0.50391	34.251358
HOMA BAY	NDHIWA	KWABWAI	GOT KOJOWI PRIMARY SCH	-0.956896	34.136559
HOMA BAY	NDHIWA	KWABWAI	GOT KOWITI PRIMARY SCH	-0.956896	34.136559
HOMA BAY	NDHIWA	KWABWAI	MBANI PRI.SCH	-0.72387	34.280258
HOMA BAY	NDHIWA	KWABWAI	NGERE PRI.SCH.	-0.640479	34.479086
HOMA BAY	NDHIWA	KWABWAI	NYAMOGO PRI.SCH	-0.739788	34.260237
HOMA BAY	NDHIWA	KWABWAI	NYAMOS PRIMARY SCH	-0.74657	34.303588
HOMA BAY	NDHIWA	KWABWAI	NYANDEMRA PRIMARY SCH	-0.79914	34.248418
HOMA BAY	NDHIWA	KWABWAI	NYANDOTO PRIMARY SCH	-0.72153	34.233558
HOMA BAY	NDHIWA	KWABWAI	NYARANDI PRIMARY SCH	-0.76012	34.248768
HOMA BAY	NDHIWA	KWABWAI	NYONIANG PRIMARY SCH	-0.848399	34.323427
HOMA BAY	NDHIWA	KWABWAI	OPANGA PRIMARY SCH	-0.42389	34.844308
HOMA BAY	NDHIWA	KWABWAI	OSANI PRIMARY SCH	-0.82959	34.295318
HOMA BAY	NDHIWA	KWABWAI	OSOGO PRIMARY SCH	-0.98666	34.433338
HOMA BAY	NDHIWA	KWABWAI	RANDHORE PRI.SCH	-0.71465	34.259938
HOMA BAY	NDHIWA	KWABWAI	RANEN MIKUMU PRIMARY SCH	-0.84052	34.560768
HOMA BAY	NDHIWA	KWABWAI	RATANGA PRIMARY SCH	-0.75731	34.290098
HOMA BAY	NDHIWA	KWABWAI	RATIL PRIMARY SCH	-0.72796	34.292928
HOMA BAY	NDHIWA	KWABWAI	RUGA PRIMARY SCH	-0.632171	34.460024
HOMA BAY	NDHIWA	KWABWAI	SIBUOCHE PRIMARY SCH	-1.037648	34.299355
HOMA BAY	NDHIWA	KWABWAI	WACHARA PRIMARY SCH	-0.801577	34.171342
HOMA BAY	NDHIWA	KWABWAI	WAYARA PRIMARY SCH	-0.8138	34.287258
HOMA BAY	RANGWE	EAST GEM	AHONO PRIMARY SCHOOL	0.06126	34.554738
HOMA BAY	RANGWE	EAST GEM	ASUMBI MIXED PRY	-0.620345	34.618141
HOMA BAY	RANGWE	EAST GEM	BAR KALARE PRIMARY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	EAST GEM	GOD MARERA PRIMARY SCHOOL	-0.50391	34.251358
HOMA BAY	RANGWE	EAST GEM	GUL KAGEMBE PRIMARY SCH.	-0.39207	34.862128
HOMA BAY	RANGWE	EAST GEM	KANYUTO PRIMARY SCHOOL	-0.015024	34.527374
HOMA BAY	RANGWE	EAST GEM	KOTORA PRIMARY SCHOOL	-0.60566	34.595108
HOMA BAY	RANGWE	EAST GEM	KOYOO PRIMARY SCHOOL	-0.581814	34.607811
HOMA BAY	RANGWE	EAST GEM	LIHANDA PRIMARY SCHOOL	0.042078	34.523468
HOMA BAY	RANGWE	EAST GEM	MAUNGO PRIMARY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	EAST GEM	MINDHINE PRIMARY SCHOOL	0.04535	34.532198
HOMA BAY	RANGWE	EAST GEM	MING'AWO PRIMARY	-0.000745	34.501164
HOMA BAY	RANGWE	EAST GEM	NYABOLA NURSERY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	EAST GEM	NYACHAR PRIMARY SCHOOL	-0.593099	34.630279
HOMA BAY	RANGWE	EAST GEM	NYAKWADHA PRIMARY SCHOOL	-0.587798	34.629921
HOMA BAY	RANGWE	EAST GEM	NYAMBARE PRIMARY SCHOOL	-1.019733	34.343739
HOMA BAY	RANGWE	EAST GEM	NYANGULU PRIMARY SCHOOL	0.00788	34.512108
HOMA BAY	RANGWE	EAST GEM	NYAUNDHO PRIMARY SCHOOL	-0.627422	34.639113
HOMA BAY	RANGWE	EAST GEM	OBIDHA ECD SCHOOL	0.0	0.0
HOMA BAY	RANGWE	EAST GEM	OMINDO PRIMARY SCHOOL	0.043696	34.499492
HOMA BAY	RANGWE	EAST GEM	OMOCHE PRIMARY SCHOOL	-0.559002	34.584723
HOMA BAY	RANGWE	EAST GEM	ONDING PRIMARY SCHOOL	0.02134	34.500794
HOMA BAY	RANGWE	EAST GEM	RABUOR KAURA PRIMARY SCHOOL	-0.549222	34.458883
HOMA BAY	RANGWE	EAST GEM	RABUOR PONGE PRIMARY SCHOOL	-0.549222	34.458883
HOMA BAY	RANGWE	EAST GEM	RABUOR PRIMARY SCHOOL	-0.549222	34.458883
HOMA BAY	RANGWE	EAST GEM	RAMULA PRIMARY SCHOOL	-0.0005	34.518506
HOMA BAY	RANGWE	EAST GEM	RANGWE PRIMARY SCHOOL	-0.597269	34.582118
HOMA BAY	RANGWE	EAST GEM	SAGAM PRIMARY SCHOOL	0.05528	34.543858
HOMA BAY	RANGWE	EAST GEM	SINAGA PRIMARY SCHOOL	0.056014	34.516045
HOMA BAY	RANGWE	EAST GEM	URANGA PRIMARY SCHOOL	0.030662	34.547751
HOMA BAY	RANGWE	EAST GEM	WIKOTENG' PRIMARY SCHOOL	-0.611276	34.633837
HOMA BAY	RANGWE	KAGAN	ACHEGO PRIMARY SCHOOL	-0.38325	34.992678
HOMA BAY	RANGWE	KAGAN	AIMO PRIMARY SCHOOL	-0.561066	34.613243
HOMA BAY	RANGWE	KAGAN	AYUYU PRIMARY SCHOOL	-0.50303	34.579226
HOMA BAY	RANGWE	KAGAN	BONDO PRIMARY SCHOOL	-0.86773	34.579448
HOMA BAY	RANGWE	KAGAN	CHIEPE PRIMARY SCH.	-0.477953	34.575196
HOMA BAY	RANGWE	KAGAN	GOD NDIRU PRIMARY SCHOOL	-0.50391	34.251358
HOMA BAY	RANGWE	KAGAN	GOD PONGE PRIMARY SCHOOL	-0.50391	34.251358
HOMA BAY	RANGWE	KAGAN	GOT KOWITI PRIMARY	-0.956896	34.136559
HOMA BAY	RANGWE	KAGAN	GOT NYALGOSI PRIMARY SCHOOL	-0.956896	34.136559
HOMA BAY	RANGWE	KAGAN	KACHAR PRIMARY SCHOOL	-0.54858	34.614592
HOMA BAY	RANGWE	KAGAN	KIRONGO PRIMARY SCHOOL	-0.550646	34.603049
HOMA BAY	RANGWE	KAGAN	KOCHIENGE PRIMARY SCHOOL	-0.512493	34.57656
HOMA BAY	RANGWE	KAGAN	KOGA PRIMARY SCHOOL	-0.523973	34.628489
HOMA BAY	RANGWE	KAGAN	LANDA PRIMARY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	KAGAN	LUDHE DONGO PRIMARY SCHOOL	-0.563856	34.62225
HOMA BAY	RANGWE	KAGAN	LUORA PRIMARY SCHOOL	-0.209143	34.979497
HOMA BAY	RANGWE	KAGAN	MAGWAR PRIMARY SCHOOL	-0.518788	34.619574
HOMA BAY	RANGWE	KAGAN	MANGA PRIMARY SCHOOL	-0.41342	34.785248
HOMA BAY	RANGWE	KAGAN	MARIENGA PRIMARY SCHOOL	-0.510605	34.631302
HOMA BAY	RANGWE	KAGAN	MAUGO PRIMARY SCH.	-0.15039	34.363288
HOMA BAY	RANGWE	KAGAN	NYALIECH PRIMARY SCHOOL	-0.488993	34.583631
HOMA BAY	RANGWE	KAGAN	NYANDEMA PRIMARY SCHOOL	-1.00427	34.245888
HOMA BAY	RANGWE	KAGAN	NYANDO PRIMARY SCHOOL	-0.518837	34.593382
HOMA BAY	RANGWE	KAGAN	NYAWITA PRIMARY SCHOOL	-0.06409	34.279948
HOMA BAY	RANGWE	KAGAN	OBUNGA PRIMARY SCH.	-0.556658	34.626096
HOMA BAY	RANGWE	KAGAN	OBUYA PRIMARY SCHOOL	-0.776996	34.770656
HOMA BAY	RANGWE	KAGAN	OBWANDA PRIMARY SCHOOL	-0.473796	34.590179
HOMA BAY	RANGWE	KAGAN	ONYEGE PRIMARY SCHOOL	-0.488692	34.62927
HOMA BAY	RANGWE	KAGAN	OPINDE PRIMARY SCHOOL	-0.480941	34.607264
HOMA BAY	RANGWE	KAGAN	OTHORO PRIMARY SCH.	-0.8925	34.392148
HOMA BAY	RANGWE	KAGAN	PAP ALALA PRIMARY SCH.	0.0	0.0
HOMA BAY	RANGWE	KAGAN	RACHAR PRIMARY SCHOOL	-0.490731	34.56551
HOMA BAY	RANGWE	KOCHIA	ALARA KORAYO PRIMARY SCHOOL	-1.074811	34.512892
HOMA BAY	RANGWE	KOCHIA	AMOSO PRIMARY SCHOOL	-0.91121	34.435158
HOMA BAY	RANGWE	KOCHIA	ANG'IRO PRIMARY SCHOOL	-0.507944	34.551191
HOMA BAY	RANGWE	KOCHIA	GOD BONDO PRIMARY SCHOOL	-0.50391	34.251358
HOMA BAY	RANGWE	KOCHIA	GOD JOPE PRY SCH	-0.50391	34.251358
HOMA BAY	RANGWE	KOCHIA	GOD KADO PRIMARY SCHOOL	-0.50391	34.251358
HOMA BAY	RANGWE	KOCHIA	KAWIYA PRIAMRY SCHOOL	-0.578873	34.541986
HOMA BAY	RANGWE	KOCHIA	KOYORE PRIMARY SCHOOL	-0.557779	34.553346
HOMA BAY	RANGWE	KOCHIA	KUOYO KAURA PRIMARY SCHOOL	-0.027898	34.623707
HOMA BAY	RANGWE	KOCHIA	KUOYO KOCHIA PRIMARY SCHOOL	-0.027898	34.623707
HOMA BAY	RANGWE	KOCHIA	LIGISA PRIMARY SCHOOL	-0.531511	34.542236
HOMA BAY	RANGWE	KOCHIA	LWAHO PRIMARY SCHOOL	-0.546468	34.5634
HOMA BAY	RANGWE	KOCHIA	NGEGU PRIMARY SCHOOL	-0.5003255	34.505743
HOMA BAY	RANGWE	KOCHIA	NYADIERE PRIMARY SCHOOL	-0.52694	34.556258
HOMA BAY	RANGWE	KOCHIA	NYAJANJA PRIMARY SCHOOL	-0.518123	34.532901
HOMA BAY	RANGWE	KOCHIA	NYALIENGA PRY SCH	-0.522498	34.540835
HOMA BAY	RANGWE	KOCHIA	NYANGWESO SPECIAL SCHOOL	-0.477334	34.547615
HOMA BAY	RANGWE	KOCHIA	NYARUT PRIMARY SCHOOL	-0.473066	34.537516
HOMA BAY	RANGWE	KOCHIA	OBENGLE PRIMARY SCHOOL	-0.504798	34.507989
HOMA BAY	RANGWE	KOCHIA	ODIENYA PRIMARY SCHOOL	-0.12646	34.528008
HOMA BAY	RANGWE	KOCHIA	OLARE PRIMARY SCHOOL	-0.496136	34.53955
HOMA BAY	RANGWE	KOCHIA	ONDICHE PRIMARY SCHOOL	-0.493846	34.529516
HOMA BAY	RANGWE	KOCHIA	ONENO PRIMARY SCHOOL	-0.560009	34.542783
HOMA BAY	RANGWE	KOCHIA	ONGETI PRIMARY SCHOOL	-0.480722	34.544142
HOMA BAY	RANGWE	KOCHIA	ONGORO PRIMARY SCHOOL	-0.964758	34.142406
HOMA BAY	RANGWE	KOCHIA	OTOLO PRIMARY SCHOOL	-0.496037	34.556463
HOMA BAY	RANGWE	KOCHIA	PAP KAMATHAYO PRIMARY SCHOOL	0.068387	34.255194
HOMA BAY	RANGWE	KOCHIA	PUNDO PRIMARY SCH.	-0.34864	34.955068
HOMA BAY	RANGWE	KOCHIA	SOTA PRIMARY SCHOOL	-0.532101	34.519892
HOMA BAY	RANGWE	WEST GEM	ANDING'O PRIMARY SCHOOL	-0.644833	34.630889
HOMA BAY	RANGWE	WEST GEM	ANIND OKO PRIMARY SCHOOL	-0.569935	34.554783
HOMA BAY	RANGWE	WEST GEM	AOCH MUGA PRIMARY SCHOOL	-0.636742	34.581346
HOMA BAY	RANGWE	WEST GEM	APUOYO PRIMARY SCHOOL	-0.011547	34.388083
HOMA BAY	RANGWE	WEST GEM	DIENYA HEALTH CENTRE	0.0	0.0
HOMA BAY	RANGWE	WEST GEM	DIENYA PRIMARY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	WEST GEM	GINGA VALLEY PRIMARY SCHOOL	0.057097	34.426004
HOMA BAY	RANGWE	WEST GEM	KARUWA PRIMARY SCHOOL	0.021085	34.437762
HOMA BAY	RANGWE	WEST GEM	KAYIEYE PRIMARY SCHOOL	0.054693	34.401493
HOMA BAY	RANGWE	WEST GEM	KOMUOK PRIMARY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	WEST GEM	KOTOO PRIMARY SCHOOL	-0.004621	34.426275
HOMA BAY	RANGWE	WEST GEM	MALUNGA PRIMARY SCHOOL	0.066579	34.392735
HOMA BAY	RANGWE	WEST GEM	NYAGONDO PRIMARY SCHOOL	0.0456	34.414845
HOMA BAY	RANGWE	WEST GEM	NYANDIWA PRIMARY SCHOOL	-0.783545	34.631932
HOMA BAY	RANGWE	WEST GEM	NYAPIEDHO PRIMARY SCHOOL	0.078454	34.409499
HOMA BAY	RANGWE	WEST GEM	NYASIDHI PRIMARY SCHOOL	0.04061	34.37930397
HOMA BAY	RANGWE	WEST GEM	NYAWAWA PRIMARY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	WEST GEM	NYOPUGE PRIMARY SCHOOL	-0.636803	34.593112
HOMA BAY	RANGWE	WEST GEM	OBER PRIMARY SCHOOL	-0.765442	34.438975
HOMA BAY	RANGWE	WEST GEM	OLUSO PRIMARY SCHOOL	-0.587771	34.558415
HOMA BAY	RANGWE	WEST GEM	ORERO PRIMARY SCHOOL	-0.602964	34.5816
HOMA BAY	RANGWE	WEST GEM	OROMBE RIVER PRIMARY SCHOOL	0.0	0.0
HOMA BAY	RANGWE	WEST GEM	OTWEYO PRIMARY SCHOOL	-0.655131	34.630731
HOMA BAY	RANGWE	WEST GEM	RABANGO PRIMARY SCHOOL	-0.127683	34.181264
HOMA BAY	RANGWE	WEST GEM	RANDUNG PRY SCH	-0.63722	34.563488
HOMA BAY	RANGWE	WEST GEM	RANG'I PRIMARY SCHOOL	-0.63521	34.633291
HOMA BAY	RANGWE	WEST GEM	SANGO GEM PRIMARY SCH.	-0.703629	34.411199
HOMA BAY	RANGWE	WEST GEM	SINOGO PRIMARY SCHOOL	-0.598408	34.552213
HOMA BAY	RANGWE	WEST GEM	ULAMBA PRIMARY SCHOOL	-0.042917	34.403762
HOMA BAY	RANGWE	WEST GEM	URIRI PRIMARY SCHOOL	0.028603	34.454637
HOMA BAY	RANGWE	WEST GEM	WAGWER PRIMARY SCHOOL	0.054594	34.38533
HOMA BAY	RANGWE	WEST GEM	WANG'APALA  KOLIELO PRIMARY SCHOOL	-0.43283	34.902298
HOMA BAY	RANGWE	WEST GEM	YOGO PRIMARY SCHOOL	0.12616	34.340118
HOMA BAY	SUBA	GWASSI NORTH	KIBURA  PRIMARY SCHOOL.	-0.646242	34.138046
HOMA BAY	SUBA	GWASSI NORTH	KICHARE  PRIMARY SCHOOL	-0.676025	34.125792
HOMA BAY	SUBA	GWASSI NORTH	KIEMBE PRIMARY SCHOOL	-0.661179	34.134596
HOMA BAY	SUBA	GWASSI NORTH	KIKUBI  PRIMARY SCHOOL.	-0.708834	34.062251
HOMA BAY	SUBA	GWASSI NORTH	KIRAMBO  PRIMARY SCHOOL	-0.47809	34.206518
HOMA BAY	SUBA	GWASSI NORTH	KIRIBA NURSERY SCHOOL	0.0	0.0
HOMA BAY	SUBA	GWASSI NORTH	KISAKU PRIMARY SCHOOL	-0.66243	34.108568
HOMA BAY	SUBA	GWASSI NORTH	KISEGI BEACH FISH BANDA	0.0	0.0
HOMA BAY	SUBA	GWASSI NORTH	KISEGI PRIMARY SCHOOL	-0.64526	34.052318
HOMA BAY	SUBA	GWASSI NORTH	KITAWA PRIMARY SCHOOL	-0.681637	34.054634
HOMA BAY	SUBA	GWASSI NORTH	KIWA PRIMARY SCHOOL	-0.74924	34.031258
HOMA BAY	SUBA	GWASSI NORTH	KOYOMBE PRIMARY SCHOOL	-0.593315	34.156186
HOMA BAY	SUBA	GWASSI NORTH	KUMUINDA  PRIMARY SCHOOL	-0.645485	34.082171
HOMA BAY	SUBA	GWASSI NORTH	MALONGO PRIMARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	GWASSI NORTH	MIRAMBA PRIMARY SCHOOL	-0.702365	34.087527
HOMA BAY	SUBA	GWASSI NORTH	MWIYOYO PRIMARY SCHOOL	-0.598467	34.115342
HOMA BAY	SUBA	GWASSI NORTH	NYAGWETHE PRIMARY SCHOOL	-0.613005	34.097971
HOMA BAY	SUBA	GWASSI NORTH	NYAKASERA PRIMARY SCHOOL	-0.68768	34.094908
HOMA BAY	SUBA	GWASSI NORTH	NYANDIWA BEACH FISH BANDA	0.0	0.0
HOMA BAY	SUBA	GWASSI NORTH	NYANDIWA PRIMARY SCHOOL	-0.783545	34.631932
HOMA BAY	SUBA	GWASSI NORTH	OBANGA PRIMARY SCHOOL	-0.68702	34.075758
HOMA BAY	SUBA	GWASSI NORTH	OSIRI PRIMARY SCHOOL	-0.662132	34.062752
HOMA BAY	SUBA	GWASSI NORTH	RAMULA  PRIMARY SCHOOL	-0.0005	34.518506
HOMA BAY	SUBA	GWASSI NORTH	SOKO  PRIMARY SCHOOL	-0.35553	34.940538
HOMA BAY	SUBA	GWASSI NORTH	TONGA PRIMARY SCHOOL	-0.693161	34.120744
HOMA BAY	SUBA	GWASSI NORTH	UTERERE PRIMARY SCHOOL	-0.633	34.077558
HOMA BAY	SUBA	GWASSI SOUTH	GENDO  PRIMARY SCHOOL	-0.719358	34.201567
HOMA BAY	SUBA	GWASSI SOUTH	GOD BURA  PRIMARY SCHOOL	-0.50391	34.251358
HOMA BAY	SUBA	GWASSI SOUTH	GOD OLOO PRIMARY SCHOOL	-0.50391	34.251358
HOMA BAY	SUBA	GWASSI SOUTH	KIABUYA  PRIMARY SCHOOL.	-0.745569	34.095599
HOMA BAY	SUBA	GWASSI SOUTH	KIGOTO PRIMARY SCHOOL	-0.692672	34.188038
HOMA BAY	SUBA	GWASSI SOUTH	KIMANGE  PRIMARY SCHOOL	-0.7146	34.089707
HOMA BAY	SUBA	GWASSI SOUTH	KIMORO PRIMARY SCHOOL	-0.741628	34.079757
HOMA BAY	SUBA	GWASSI SOUTH	KINDA BEACH FISH BANDA	0.0	0.0
HOMA BAY	SUBA	GWASSI SOUTH	KITHEREKA PRIMARY SCHOOL	-0.636577	34.149656
HOMA BAY	SUBA	GWASSI SOUTH	KOGA  PRIMARY SCHOOL.	-0.523973	34.628489
HOMA BAY	SUBA	GWASSI SOUTH	KWAMBATHA PRIMARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	GWASSI SOUTH	LIGONGO  PRIMARY SCHOOL.	-0.741332	34.127892
HOMA BAY	SUBA	GWASSI SOUTH	LWANDA PRIMARY SCHOOL	-0.742309	34.510498
HOMA BAY	SUBA	GWASSI SOUTH	MAGUNGA  PRIMARY SCHOOL.	-0.691975	34.150127
HOMA BAY	SUBA	GWASSI SOUTH	MIKUYU  PRIMARY SCHOOL.	0.0	0.0
HOMA BAY	SUBA	GWASSI SOUTH	MIRIYA  PRIMARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	GWASSI SOUTH	MUMISA PRIMARY SCHOOL.	-0.676887	34.150814
HOMA BAY	SUBA	GWASSI SOUTH	MWIREGWA  PRIMARY SCHOOL.	-0.628453	34.213403
HOMA BAY	SUBA	GWASSI SOUTH	NYABURU NURSARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	GWASSI SOUTH	NYAMADEDE  PRIMARY SCHOOL.	-0.64418	34.182471
HOMA BAY	SUBA	GWASSI SOUTH	NYASOTI  PRIMARY SCHOOL	-0.674475	34.170151
HOMA BAY	SUBA	GWASSI SOUTH	NYATAMBE  PRIMARY SCHOOL.	-0.76299	34.087758
HOMA BAY	SUBA	GWASSI SOUTH	NYAWACHA PRIMARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	GWASSI SOUTH	NYENGA PRIMARY SCHOOL	-0.714758	34.104669
HOMA BAY	SUBA	GWASSI SOUTH	OGAKA  PRIMARY SCHOOL	-0.99732	34.264488
HOMA BAY	SUBA	GWASSI SOUTH	OLANDO  PRIMARY SCHOOL	-0.649331	34.223388
HOMA BAY	SUBA	GWASSI SOUTH	OMA  PRIMARY SCHOOL	-0.662601	34.152247
HOMA BAY	SUBA	GWASSI SOUTH	ORORE  PRIMARY SCHOOL.	-0.77877	34.162434
HOMA BAY	SUBA	GWASSI SOUTH	PUNDO PRIMARY SCHOOL	-0.34864	34.955068
HOMA BAY	SUBA	GWASSI SOUTH	SANJWERU PRIMARY SCHOOL	-0.706723	34.160972
HOMA BAY	SUBA	GWASSI SOUTH	SEKA PRIMARY SCHOOL	-0.757504	34.166113
HOMA BAY	SUBA	GWASSI SOUTH	SOKONI  PRIMARY SCHOOL	-0.7559	34.117618
HOMA BAY	SUBA	GWASSI SOUTH	WIGA PRIMARY SCHOOL.	-0.564222	34.476532
HOMA BAY	SUBA	KAKSINGRI WEST	GINGO BEACH FISH  BANDA	0.0	0.0
HOMA BAY	SUBA	KAKSINGRI WEST	GINGO PRIMARY SCHOOL	-0.486802	34.177661
HOMA BAY	SUBA	KAKSINGRI WEST	GOT KOMBUTO  PRIMARY SCHOOL	-0.956896	34.136559
HOMA BAY	SUBA	KAKSINGRI WEST	KALOKO BEACH FISH BANDA	0.0	0.0
HOMA BAY	SUBA	KAKSINGRI WEST	KIANYUMBA PRIMARY SCHOOL	-0.520298	34.174571
HOMA BAY	SUBA	KAKSINGRI WEST	KIBUOGI PRIMARY SCHOOL	-0.530335	34.093275
HOMA BAY	SUBA	KAKSINGRI WEST	KINYASAGA PRIMARY SCHOOL	-0.560766	34.18025
HOMA BAY	SUBA	KAKSINGRI WEST	KISIAMBI PRIMARY SCHOOL	-0.579329	34.081705
HOMA BAY	SUBA	KAKSINGRI WEST	MSARE PRIMARY SCHOOL	-0.581367	34.187178
HOMA BAY	SUBA	KAKSINGRI WEST	MUKENDE PRIMARY SCHOOL	-0.522973	34.195797
HOMA BAY	SUBA	KAKSINGRI WEST	MWIRENDIA PRIMARY SCHOOL	-0.578554	34.13779
HOMA BAY	SUBA	KAKSINGRI WEST	NGERI PRIMARY SCHOOL	-0.592876	34.098364
HOMA BAY	SUBA	KAKSINGRI WEST	NYABOMO PRIMARY SCHOOL	-0.583585	34.176701
HOMA BAY	SUBA	KAKSINGRI WEST	RAGWE PRIMARY SCHOOL	-0.571103	34.0956
HOMA BAY	SUBA	KAKSINGRI WEST	ROO PRIMARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	KAKSINGRI WEST	ROWO PRIMARY SCHOOL	-0.55006	34.143959
HOMA BAY	SUBA	KAKSINGRI WEST	SINDO MAIN BEACH BANDA	0.0	0.0
HOMA BAY	SUBA	KAKSINGRI WEST	SINDO PRIMARY SCHOOL	-0.540489	34.173715
HOMA BAY	SUBA	KAKSINGRI WEST	SINDO YOUTH POLYTECHNIC	0.0	0.0
HOMA BAY	SUBA	KAKSINGRI WEST	ST. JOSEPH MIKIUNDU PRIMARY SCHOOL	-0.778162	34.877672
HOMA BAY	SUBA	KAKSINGRI WEST	WIRA PRIMARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	RUMA-KAKSINGRI	KASINGA PRIMARY SCHOOL	-0.597345	34.223756
HOMA BAY	SUBA	RUMA-KAKSINGRI	KINGENYO PRI	-0.624001	34.244811
HOMA BAY	SUBA	RUMA-KAKSINGRI	MANYALA PRI	-0.562598	34.196951
HOMA BAY	SUBA	RUMA-KAKSINGRI	MATUNGA  PRIMARY SCHOOL	0.0	0.0
HOMA BAY	SUBA	RUMA-KAKSINGRI	NYABERA PRIMARY SCHOOL	-0.551147	34.255257
HOMA BAY	SUBA	RUMA-KAKSINGRI	NYADENDA MAIZE STORE	0.0	0.0
HOMA BAY	SUBA	RUMA-KAKSINGRI	NYADENDA PRIMARY SCHOOL	-0.613904	34.247214
HOMA BAY	SUBA	RUMA-KAKSINGRI	NYAKIYA PRIMARY SCHOOL	-0.588158	34.25162
HOMA BAY	SUBA	RUMA-KAKSINGRI	NYALKEMBO PRIMARY SCHOOL	-0.591007	34.236739
HOMA BAY	SUBA	RUMA-KAKSINGRI	NYATOTO PRIMARY SCHOOL	-0.555852	34.271535
HOMA BAY	SUBA	RUMA-KAKSINGRI	ONG'AYO PRIMARY SCHOOL	-0.544244	34.196328
HOMA BAY	SUBA	RUMA-KAKSINGRI	ONYWERA PRIMARY SCHOOL	-0.542116	34.212618
HOMA BAY	SUBA	RUMA-KAKSINGRI	SUMBA PRIMARY SCHOOL	-0.563548	34.218436
HOMA BAY	SUBA	RUMA-KAKSINGRI	VALLEY NURSERY SCHOOL	0.0	0.0
HOMA BAY	SUBA	RUMA-KAKSINGRI	VICTOR MUSOGA PRIMARY SCHOOL	-0.567027	34.251511
HOMA BAY	SUBA	RUMA-KAKSINGRI	YONGO PRIMARY SCHOOL	-0.567346	34.289897
ISIOLO	ISIOLO NORTH	BULLA PESA	BULA MPYA PRY SCH	0.35014	37.572918
ISIOLO	ISIOLO NORTH	BULLA PESA	BULA PESA WATER KIOSK	0.0	0.0
ISIOLO	ISIOLO NORTH	BULLA PESA	BULLA PESA DISPENSARY	0.0	0.0
ISIOLO	ISIOLO NORTH	BULLA PESA	KAMBI YA JUU NURSERY SCH.	-1.211145	37.495679
ISIOLO	ISIOLO NORTH	BULLA PESA	MARIRE NURSERY SCHOOL	0.0	0.0
ISIOLO	ISIOLO NORTH	BULLA PESA	PEPO LA TUMAINI PRY SCH	0.34139	37.573038
ISIOLO	ISIOLO NORTH	BULLA PESA	WASO PRY SCH	0.33291	37.572968
ISIOLO	ISIOLO NORTH	BURAT	ALAMACHI NURSERY SCH	0.0	0.0
ISIOLO	ISIOLO NORTH	BURAT	AREMET PRIMARY SCH	0.44042	37.577338
ISIOLO	ISIOLO NORTH	BURAT	ELSA PRY SCH.	0.27448	37.544228
ISIOLO	ISIOLO NORTH	BURAT	EMEGEN  PRIMARY SCHOOL	0.0	0.0
ISIOLO	ISIOLO NORTH	BURAT	KAKILI PRIMARY SCH.	-2.02738	37.603558
